Date,Currency,Mean,Buy,Sell
02/01/2019,US DOLLAR,101.8322,101.7322,101.9322
03/01/2019,US DOLLAR,102.1183,102.0211,102.2156
04/01/2019,US DOLLAR,102.1611,102.0639,102.2583
07/01/2019,US DOLLAR,102.0972,102,102.1944
08/01/2019,US DOLLAR,101.8694,101.7694,101.9694
09/01/2019,US DOLLAR,101.9572,101.8572,102.0572
10/01/2019,US DOLLAR,101.8572,101.7572,101.9572
11/01/2019,US DOLLAR,101.7544,101.6544,101.8544
14/01/2019,US DOLLAR,101.7417,101.6417,101.8417
15/01/2019,US DOLLAR,101.6972,101.5972,101.7972
16/01/2019,US DOLLAR,101.7139,101.6139,101.8139
17/01/2019,US DOLLAR,101.7017,101.6044,101.7989
18/01/2019,US DOLLAR,101.7306,101.6306,101.8306
21/01/2019,US DOLLAR,101.7089,101.6089,101.8089
22/01/2019,US DOLLAR,101.6017,101.5017,101.7017
23/01/2019,US DOLLAR,101.6011,101.5011,101.7011
24/01/2019,US DOLLAR,101.4056,101.3056,101.5056
25/01/2019,US DOLLAR,101.0833,100.9833,101.1833
28/01/2019,US DOLLAR,100.8,100.7,100.9
29/01/2019,US DOLLAR,100.7139,100.6139,100.8139
30/01/2019,US DOLLAR,100.8211,100.7239,100.9183
31/01/2019,US DOLLAR,100.89,100.7928,100.9872
01/02/2019,US DOLLAR,100.6194,100.5194,100.7194
04/02/2019,US DOLLAR,100.375,100.275,100.475
05/02/2019,US DOLLAR,100.15,100.05,100.25
06/02/2019,US DOLLAR,100.0722,99.9722,100.1722
07/02/2019,US DOLLAR,100.095,99.995,100.195
08/02/2019,US DOLLAR,100.1478,100.0478,100.2478
11/02/2019,US DOLLAR,100.3594,100.2594,100.4594
12/02/2019,US DOLLAR,100.5289,100.4289,100.6289
13/02/2019,US DOLLAR,100.2772,100.1772,100.3772
14/02/2019,US DOLLAR,100.2489,100.1489,100.3489
15/02/2019,US DOLLAR,100.24,100.14,100.34
18/02/2019,US DOLLAR,100.1917,100.0917,100.2917
19/02/2019,US DOLLAR,100.1722,100.0722,100.2722
20/02/2019,US DOLLAR,100.2678,100.1678,100.3678
21/02/2019,US DOLLAR,100.24,100.1428,100.3372
22/02/2019,US DOLLAR,100.2228,100.1256,100.32
25/02/2019,US DOLLAR,100.1822,100.0822,100.2822
26/02/2019,US DOLLAR,100.0694,99.9694,100.1694
27/02/2019,US DOLLAR,100.1278,100.0278,100.2278
28/02/2019,US DOLLAR,100.0861,99.9861,100.1861
01/03/2019,US DOLLAR,100.0428,99.9456,100.14
04/03/2019,US DOLLAR,100.0417,99.9417,100.1417
05/03/2019,US DOLLAR,100.0389,99.9389,100.1389
06/03/2019,US DOLLAR,100.0483,99.9483,100.1483
07/03/2019,US DOLLAR,100.0239,99.9239,100.1239
08/03/2019,US DOLLAR,99.71,99.61,99.81
11/03/2019,US DOLLAR,99.6511,99.5511,99.7511
12/03/2019,US DOLLAR,99.6056,99.5056,99.7056
13/03/2019,US DOLLAR,100.1861,100.0861,100.2861
14/03/2019,US DOLLAR,100.24,100.14,100.34
15/03/2019,US DOLLAR,100.1678,100.0678,100.2678
18/03/2019,US DOLLAR,100.2956,100.1956,100.3956
19/03/2019,US DOLLAR,100.6583,100.5583,100.7583
20/03/2019,US DOLLAR,100.85,100.75,100.95
21/03/2019,US DOLLAR,101.0072,100.9072,101.1072
22/03/2019,US DOLLAR,100.7778,100.6778,100.8778
25/03/2019,US DOLLAR,100.7028,100.6028,100.8028
26/03/2019,US DOLLAR,100.9639,100.8639,101.0639
27/03/2019,US DOLLAR,100.9556,100.8556,101.0556
28/03/2019,US DOLLAR,100.8778,100.7778,100.9778
29/03/2019,US DOLLAR,100.75,100.65,100.85
01/04/2019,US DOLLAR,100.7806,100.6861,100.875
02/04/2019,US DOLLAR,100.8444,100.7444,100.9444
03/04/2019,US DOLLAR,100.9033,100.8033,101.0033
04/04/2019,US DOLLAR,100.8006,100.7006,100.9006
05/04/2019,US DOLLAR,100.7167,100.6167,100.8167
08/04/2019,US DOLLAR,100.6333,100.5361,100.7306
09/04/2019,US DOLLAR,100.6417,100.5417,100.7417
10/04/2019,US DOLLAR,100.8422,100.7422,100.9422
11/04/2019,US DOLLAR,101.0944,100.9944,101.1944
12/04/2019,US DOLLAR,100.9528,100.8528,101.0528
15/04/2019,US DOLLAR,100.9906,100.8906,101.0906
16/04/2019,US DOLLAR,100.9972,100.8972,101.0972
17/04/2019,US DOLLAR,101.0556,100.9556,101.1556
18/04/2019,US DOLLAR,101.2583,101.1583,101.3583
23/04/2019,US DOLLAR,101.3353,101.2339,101.4367
24/04/2019,US DOLLAR,101.5361,101.4361,101.6361
25/04/2019,US DOLLAR,101.5478,101.4478,101.6478
26/04/2019,US DOLLAR,101.5122,101.4122,101.6122
29/04/2019,US DOLLAR,101.49,101.3872,101.5928
30/04/2019,US DOLLAR,101.3803,101.2789,101.4817
02/05/2019,US DOLLAR,101.1972,101.0972,101.2972
03/05/2019,US DOLLAR,100.9,100.8,101
06/05/2019,US DOLLAR,101.0978,100.9978,101.1978
07/05/2019,US DOLLAR,100.9417,100.8417,101.0417
08/05/2019,US DOLLAR,101.0472,100.9472,101.1472
09/05/2019,US DOLLAR,101.1856,101.0856,101.2856
10/05/2019,US DOLLAR,101.1344,101.0344,101.2344
13/05/2019,US DOLLAR,101.0736,100.9778,101.1694
14/05/2019,US DOLLAR,101.0692,100.9733,101.165
15/05/2019,US DOLLAR,101.0944,100.9944,101.1944
16/05/2019,US DOLLAR,101.1069,101.0111,101.2028
17/05/2019,US DOLLAR,101.1194,101.0194,101.2194
20/05/2019,US DOLLAR,101.1111,101.0111,101.2111
21/05/2019,US DOLLAR,101.1117,101.0117,101.2117
22/05/2019,US DOLLAR,101.1694,101.0694,101.2694
23/05/2019,US DOLLAR,101.2167,101.1167,101.3167
24/05/2019,US DOLLAR,101.2261,101.1261,101.3261
27/05/2019,US DOLLAR,101.24,101.14,101.34
28/05/2019,US DOLLAR,101.2378,101.14,101.3356
