Country Name,Country Code,Indicator Name,Indicator Code,Year,GDP
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,2010,45405615063.7551
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,2011,46869473150.61
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,2012,56396704671.5777
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,2013,61671440407.8387
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,2014,68285796514.2896
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,2015,70120446896.8359
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,2016,74815144163.8931
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,2017,82036510877.2599
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,2018,92202979985.2863
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,2019,100378436207.371
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,2020,100657505750.545
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,2021,109703658904.994
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,2022,113419826113.903
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,2023,107440575838.048
