Date, Open, High, Low, Close, Volume
06/03/2024,18.2,18.5,17.95,18,6821200
06/04/2024,18,18.15,18,18,3279500
06/05/2024,18.05,18.2,18,18.05,5474800
06/06/2024,18.05,18.7,18,18.35,4895200
06/07/2024,18.35,18.35,18.25,18.35,3250900
06/10/2024,18.35,18.35,18,18.1,270300
06/11/2024,18.15,18.15,18,18.05,9094600
06/12/2024,18.15,18.2,18,18.1,8259700
06/13/24,18.1,18.25,18,18.1,7702600
06/14/24,18.35,18.35,18.1,18.2,241300
06/18/24,18.2,18.45,18.1,18.3,1250100
06/19/24,18.35,18.7,18.05,18.5,4109900
06/20/24,18.5,18.8,18.5,18.7,6462600
06/21/24,18.55,18.55,18.05,18.15,3081600
06/24/24,18.2,18.3,17.95,18.1,2153700
06/25/24,18.1,18.5,17.95,18.05,2368100
06/26/24,18.05,18.05,17.6,17.85,15357100
06/27/24,17.8,17.8,16.95,17.2,3790800
06/28/24,17,17.6,16.8,17.3,6538000
07/01/2024,17.3,17.8,17.3,17.45,1359700
07/02/2024,17.5,17.7,17.3,17.4,5078000
07/03/2024,17.4,17.5,17.3,17.35,6918000
07/04/2024,17.8,17.8,17.1,17.2,5027500
07/05/2024,17.1,17.5,17.1,17.3,2170700
07/08/2024,17.3,17.5,17.2,17.3,5022400
07/09/2024,17.35,17.5,17.2,17.3,2397400
07/10/2024,17.25,17.3,16.9,17.1,1644600
07/11/2024,17,17.2,17,17.05,6594100
07/12/2024,17.05,17.15,17.05,17.05,6048400
07/15/24,17.05,17.15,16.95,17,11160600
07/16/24,17.05,17.15,16.95,17,928800
07/17/24,17,17,16.6,16.75,1146200
07/18/24,16.8,16.9,16.3,16.45,1016500
07/19/24,16.45,16.45,16.3,16.4,432500
07/22/24,16.45,16.45,16.2,16.2,5541900
07/23/24,16.3,16.3,16,16.15,6812200
07/24/24,16.2,16.2,15.55,15.95,5218800
07/25/24,15.8,15.95,15.05,15.55,21303400
07/26/24,15.5,15.5,15.05,15.1,25624900
07/29/24,15.45,16,15.2,15.3,3487600
07/30/24,15.7,16.5,15.6,16,5675600
07/31/24,15.8,16,15.7,15.9,883400
08/01/2024,15.8,15.8,15.1,15.35,1895000
08/02/2024,15.15,15.35,14.95,15.05,14638300
08/05/2024,15,15,14.2,14.4,12414600
08/06/2024,14.95,15,14.5,14.85,4266600
08/07/2024,14.85,14.95,14.5,14.7,3229000
08/08/2024,14.8,14.9,14.65,14.75,9072900
08/09/2024,14.8,15,14.75,14.8,1643200
